ID,NAME,ADDRESS,POSTAL CODE,CITY,PHONE,EMAIL ADDRESS,WEBSITE,ROOMS,STARS,REVIEW,PRICE,PARKING,INTERNET
30368645,Hotel Am Schloss Ahrensburg,Am Alten Markt 17,22926,Ahrensburg,4941028055,info@hotel-am-schloss.de,https://www.hotel-am-schloss.de/,78,3,8.3,113,NEIN,NEIN
30397304,Hotel Whitman,Plaener Chaussee 21,24326,Ascheberg,49452633900,info@hotel-whitman.de,https://designhotel-whitman.de/,56,4,7.6,166,JA,JA
30388514,Kunzmann's Hotel | Spa,An der Promenade 6,97708,Bad Bocklet,499708780,willkommen@kunzmanns.de,http://www.kunzmanns.de/,65,4,8.8,217,JA,JA
30397255,Hotel Seeblick,Pelham 4,83093,Bad Endorf,4980533090,info@hotel-seeblick-pelham.de,http://www.hotel-seeblick-pelham.de/,60,3,8.4,140,NEIN,NEIN
30372806,Best Western Premier Park Hotel & Spa,Peter-Hartmann-Allee 4,33175,Bad Lippspringe,4952529630,info@parkhotel-lippspringe.de,http://www.parkhotel-lippspringe.de/,135,4,8.6,183,JA,JA
30372807,Best Western Premier Parkhotel Bad Mergentheim,Lothar-Daiker-Strasse 6,97980,Bad Mergentheim,4979315390,info@parkhotel-mergentheim.bestwestern.de,http://www.parkhotel-mergentheim.de/,116,4,8.2,162,JA,JA
30388433,Kulturhotel Fuerst Pueckler Park,Schlossstr. 8,2953,Bad Muskau,49357715330,info@kulturhotel-fuerst-pueckler-park.de,http://www.kulturhotel-fuerst-pueckler-park.de/,101,4,8,141,NEIN,JA
30399358,Good Morning + Bad Oldesloe,Sandkamp 12,23843,Bad Oldesloe,49453189300,badoldesloe@gmorninghotels.de,https://ligula.se,142,3,6.8,66,NEIN,NEIN
30372789,Best Western Plus Hotel Ostertor,Osterstr. 52-54,32105,Bad Salzuflen,4910352161,info@ostertor.bestwestern.de,http://www.hotel-ostertor.com/,72,4,8.6,137,NEIN,NEIN
30400354,Hotel Villa Medici,Waldparkstrasse 20,76669,Bad Schonborn,4970000000000,info@hotel-villa-medici.de,http://www.hotel-villa-medici.de/,88,4,8.6,116,NEIN,JA
30368121,NordWest-Hotel Am Badepark,Am Badepark 5,26160,Bad Zwischenahn,4944036960,info@HotelAmBadepark.de,http://www.hotelambadepark.de/,50,4,8.7,146,NEIN,NEIN
30396152,Romantik Hotel Jagdhaus Eiden am See,Eiden 9,26160,Bad Zwischenahn,494000000000,info@jagdhaus-eiden.de,http://www.jagdhaus-eiden.de/,99,4,9.2,237,JA,JA
30390665,Dorint Maison Messmer Baden-Baden,Werderstrasse 1,76530,Baden-Baden,4972310184,Info.maison-messmer@dorint.com,http://hotel-baden-baden.dorint.com/,151,5,8.6,355,JA,JA
30384912,Hilton Berlin,Mohrenstr. 30,10117,Berlin,49154902229,info.berlin@hilton.com,www.hilton.com,601,5,8.4,342,JA,JA
30367265,Hotel Adlon Kempinski Berlin,Unter den Linden 77,10117,Berlin,493022610,hotel.adlon@kempinski.com,http://www.kempinski.com/adlon,385,5,9.3,512,JA,JA
30372674,Novotel Berlin Mitte,Fischerinsel 12,10179,Berlin,4930206740,info@accor.com,www.accor.com,238,4,8.5,148,NEIN,NEIN
30372621,Novotel Berlin Am Tiergarten,Strasse des 17. Juni 106-108,10623,Berlin,4930600350,info@accor.com,www.accor.com,274,4,8.7,146,NEIN,NEIN
30383213,Hampton by Hilton Berlin City West,Uhlandstrasse 188-189,10623,Berlin,49304050270,jaqueline.sauter-israel@hilton.com,http://hamptoninn3.hilton.com/en/hotels/berlin/,214,3,8.9,233,JA,JA
30390831,Berlin Marriott Hotel,Inge-Beisheim-Platz 1,10785,Berlin,4930220000,berlin@marriotthotels.com,http://www.marriott.com/hotels/travel/bermc-berlin-marriott-hotel/,379,5,9,339,JA,JA
30382805,Grand Hyatt Berlin,Marlene-Dietrich-Platz 2,10785,Berlin,493000000000,hyattplace@hyatt.com,www.hyatt.com,342,5,9,501,JA,JA
30386667,Palace Berlin,Budapester Str. 45,10787,Berlin,493025020,hotel@palace.de,http://www.palace.de/,278,5,9.1,275,JA,JA
30382790,Grand City Hotel Berlin East,Landsberger Allee 203,13055,Berlin,4930978080,info@berlin-east-grandcityhotels.com,http://www.hotel-berlin-east.com/,317,4,7,159,JA,JA
30394562,Holiday Inn Berlin City-East Landsberger Allee,Landsberger Allee 203,13055,Berlin,4930978080,info@hibce.de,http://www.ihg.com/holidayinn/hotels/us/en/berlin/,156,4,6.9,160,JA,JA
30373220,Hotel am Borsigturm,Am Borsigturm 1,13507,Berlin,493000000000,info@hotel-am-borsigturm.de,http://www.hotel-am-borsigturm.de/,105,4,8.6,169,JA,JA
30386968,Iberotel Boltenhagen,Baltische Allee 1,23946,Boltenhagen,49388253840,info@iberotelboltenhagen.de,http://www.iberotel.de/iberotel-boltenhagen-ostsee-deutschland.html,191,4,8.5,197,JA,JA
30390768,Maritim Hotel Bremen,Hollerallee 99,28215,Bremen,4942137890,info.bre@maritim.de,https://www.maritim.de/de/hotels/deutschland/hotel-bremen/uebersicht,261,4,8.1,146,NEIN,NEIN
